labels 	18o 	16o 	14o 	13o 	11o 	10o 	8o 	7o 	0o 	

0i 	0 	0 	0 	0 	0 	3 	0 	0 	1 	

7i 	0 	0 	0 	0 	0 	0 	0 	0 	0 	

8i 	0 	1 	2 	8 	4 	8 	2 	0 	0 	

10i 	0 	0 	0 	9 	2 	3 	2 	0 	0 	

11i 	0 	5 	0 	6 	3 	3 	2 	0 	0 	

13i 	0 	4 	1 	7 	1 	13 	0 	0 	1 	

14i 	0 	0 	0 	0 	0 	0 	1 	0 	0 	

16i 	0 	1 	0 	1 	2 	0 	1 	0 	0 	

18i 	0 	0 	0 	1 	1 	0 	0 	0 	0 	

