labels 	18o 	16o 	14o 	13o 	11o 	10o 	8o 	7o 	0o 	

0i 	0 	0 	0 	1 	2 	2 	1 	0 	0 	

7i 	0 	0 	0 	1 	2 	0 	0 	0 	0 	

8i 	0 	1 	0 	6 	18 	3 	6 	0 	4 	

10i 	0 	0 	9 	19 	7 	3 	14 	0 	3 	

11i 	8 	0 	0 	3 	6 	5 	10 	0 	0 	

13i 	2 	2 	1 	20 	10 	3 	6 	0 	0 	

14i 	0 	0 	0 	3 	0 	0 	0 	0 	0 	

16i 	0 	1 	1 	1 	3 	1 	1 	0 	0 	

18i 	0 	0 	0 	0 	1 	0 	0 	0 	0 	

